Symbol,last_close,med_dollar,active_days,sessions,first,peak,crush,age_years
NIE,26.58,1280164.65084,32,32,2016-01-04,32.04,1.2054176072234764,10.620123203285422
NJAN,59.5952,293254.07521038747,32,32,2020-01-02,59.8407,1.0041194592853115,6.625598904859685
NJR,55.52,33526539.70762168,32,32,2016-01-04,60.05,1.0815922190201728,10.620123203285422
NJUL,76.905,1722551.8721160002,32,32,2020-07-01,77.66,1.0098173070671608,6.1300479123887746
NKE,40.06,820793208.9132582,32,32,2016-01-04,177.51,4.4311033449825254,10.620123203285422
NKSH,43.19,1418177.1935881902,32,32,2016-01-04,49.6,1.148413984718685,10.620123203285422
NKTR,73.64,49036147.78975369,32,32,2016-01-04,1626.6,22.088538837588267,10.620123203285422
NKX,12.23,1784525.25384929,32,32,2016-01-04,17.32,1.4161896974652493,10.620123203285422
NLR,114.45,45874320.34947838,32,32,2016-01-04,164.37,1.436173001310616,10.620123203285422
NLY,23.4,147212583.00156063,32,32,2016-01-04,50.64,2.1641025641025644,10.620123203285422
NMCO,10.46,1898971.00184118,32,32,2019-09-17,16.09,1.5382409177820267,6.91854893908282
NMFC,7.45,3849574.65167693,32,32,2016-01-04,14.95,2.006711409395973,10.620123203285422
NMI,10.4835,202628.06174600002,32,32,2016-01-04,13.25,1.2638908761386942,10.620123203285422
NMIH,45.61,18424439.58175026,32,32,2016-01-04,45.71,1.0021925016443762,10.620123203285422
NML,10.66,1154873.91393886,32,32,2016-01-04,10.76,1.0093808630393997,10.620123203285422
NMM,82.72,7566048.945028774,32,32,2016-01-04,82.77,1.0006044487427466,10.620123203285422
NMRK,15.18,17950672.850548334,32,32,2017-12-15,19.58,1.289855072463768,8.673511293634498
NMZ,10.16,6153546.087343005,32,32,2016-01-04,15.81,1.5561023622047245,10.620123203285422
NNI,125.67,13829559.44237556,32,32,2016-01-04,144.23,1.1476883902283759,10.620123203285422
NNN,45.83,62014897.26353945,32,32,2016-01-04,58.91,1.2854025747327078,10.620123203285422
NNY,8.25,281278.094619,32,32,2016-01-04,10.75,1.303030303030303,10.620123203285422
NOA,13.65,761723.614095845,32,32,2016-01-04,25.38,1.8593406593406592,10.620123203285422
NOAH,8.69,839195.59247555,32,32,2016-01-04,67.61,7.780207134637514,10.620123203285422
NOC,589.14,408039040.8740997,32,32,2016-01-04,768.02,1.3036290185694401,10.620123203285422
NOCT,63.4448,257546.38358534581,32,32,2019-10-01,63.6376,1.0030388621289688,6.880219028062971
NODK,15.22,277410.05879085,32,32,2017-03-16,20.32,1.3350854139290407,9.423682409308693
