trade_idx,ticker,entry_date,bar_count_at_entry,spy_dk_at_entry,species_classification,W1,W2,W3,cohort,days_held,pnl_pct,exit_reason
520,OXY,2023-05-05,780,0,,False,False,False,noW3,7,-0.041735,exit_a_not_accumulate
521,Z,2023-05-05,780,0,,False,False,False,noW3,10,-0.057048,exit_a_not_accumulate
522,IP,2023-05-08,781,0,,False,False,False,noW3,7,-0.009956,exit_a_not_accumulate
523,ATMP,2023-05-09,782,0,,False,False,False,noW3,6,0.015594,exit_a_not_accumulate
524,STRS,2023-04-21,770,0,,False,False,False,noW3,25,-0.103367,exit_f_catastrophic
525,NVDA,2023-05-01,776,0,,False,False,False,noW3,15,0.018584,exit_a_not_accumulate
526,GLNG,2023-05-09,782,0,,False,False,False,noW3,7,-0.021325,exit_a_not_accumulate
527,APA,2023-05-09,782,0,,False,False,False,noW3,7,-0.05015,exit_a_not_accumulate
528,MTRX,2023-05-11,784,0,,False,False,False,noW3,5,0.080882,exit_a_not_accumulate
529,Z,2023-05-16,787,0,,False,False,False,noW3,1,0.012636,exit_a_not_accumulate
530,TAYD,2023-05-15,745,0,,False,False,False,noW3,4,-0.108235,exit_f_catastrophic
531,Z,2023-05-18,789,0,,False,False,False,noW3,1,0.00022,exit_a_not_accumulate
532,RDVT,2023-05-11,784,0,,False,False,False,noW3,11,0.295233,exit_a_not_accumulate
533,NFE,2023-05-15,786,0,,False,False,False,noW3,7,-0.033288,exit_a_not_accumulate
534,ZG,2023-05-18,789,0,,False,False,False,noW3,4,0.001347,exit_a_not_accumulate
535,SBS,2023-05-02,777,0,,False,False,False,noW3,21,0.152367,exit_a_not_accumulate
536,CLRO,2023-05-22,791,0,,False,False,False,noW3,1,0.0,exit_a_not_accumulate
537,Z,2023-05-22,791,0,,False,False,False,noW3,3,0.000663,exit_a_not_accumulate
538,DXR,2023-05-22,722,0,,False,False,False,noW3,4,0.016512,exit_a_not_accumulate
539,EGO,2023-03-24,751,0,,False,False,False,noW3,67,0.07195,exit_a_not_accumulate
540,OFIX,2023-05-08,781,0,,False,False,False,noW3,23,0.019084,exit_a_not_accumulate
541,SFM,2023-05-12,785,0,,False,False,False,noW3,20,-0.119054,exit_f_catastrophic
542,CAL,2023-05-25,794,0,,False,False,False,noW3,7,-0.02938,exit_a_not_accumulate
543,SFM,2023-06-01,798,0,,False,False,False,noW3,1,0.008542,exit_a_not_accumulate
544,CASH,2023-03-14,743,0,,False,False,False,noW3,87,0.206838,exit_a_not_accumulate
545,VSTM,2023-06-06,801,0,,False,False,False,noW3,6,-0.130931,exit_f_catastrophic
546,ELA,2023-03-22,749,0,,False,False,False,noW3,84,0.130106,exit_a_not_accumulate
547,PERI,2023-06-05,800,0,,False,False,False,noW3,9,0.122087,exit_a_not_accumulate
548,ALTG,2023-06-09,804,0,,False,False,False,noW3,6,0.076129,exit_a_not_accumulate
549,GSL,2023-06-13,806,0,,False,False,False,noW3,2,0.001565,exit_a_not_accumulate
550,MCFT,2023-06-06,801,0,,False,False,False,noW3,10,0.018582,exit_a_not_accumulate
551,INSE,2023-06-16,809,0,,False,False,False,noW3,4,0.000692,exit_a_not_accumulate
552,HDSN,2023-06-14,807,0,,False,False,False,noW3,7,-0.003148,exit_a_not_accumulate
553,STRS,2023-05-16,787,0,,False,False,False,noW3,37,0.315464,exit_a_not_accumulate
554,GFI,2023-06-01,798,0,,False,False,False,noW3,21,-0.104834,exit_f_catastrophic
555,FORM,2023-05-10,783,0,,False,False,False,noW3,44,0.047969,exit_a_not_accumulate
556,CASH,2023-06-13,806,0,,False,False,False,noW3,10,-0.110099,exit_f_catastrophic
557,CPHC,2023-06-21,755,0,,False,False,False,noW3,2,0.005674,exit_a_not_accumulate
558,MARPS,2023-06-22,812,0,,False,False,False,noW3,4,-0.1808,exit_f_catastrophic
559,EDN,2023-06-21,810,0,,False,False,False,noW3,6,0.031399,exit_a_not_accumulate
560,AMRC,2023-06-20,810,0,,False,False,False,noW3,8,0.042418,exit_a_not_accumulate
561,AMTB,2023-06-21,811,0,,False,False,False,noW3,7,-0.047847,exit_a_not_accumulate
562,ALLY,2023-04-28,775,0,,False,False,False,noW3,63,0.025826,exit_a_not_accumulate
563,CMT,2023-06-21,811,0,,False,False,False,noW3,9,0.129593,exit_a_not_accumulate
564,BBAR,2023-06-27,815,0,,False,False,False,noW3,10,-0.023102,exit_a_not_accumulate
565,XRX,2023-07-06,821,0,,False,False,False,noW3,1,0.025822,exit_a_not_accumulate
566,FORM,2023-07-03,819,0,,False,False,False,noW3,7,-0.032469,exit_a_not_accumulate
567,VET,2023-07-07,822,0,,False,False,False,noW3,3,0.018533,exit_a_not_accumulate
568,MD,2023-06-27,815,0,,False,False,False,noW3,14,0.008759,exit_a_not_accumulate
569,NVGS,2023-06-29,817,0,,False,False,False,noW3,12,0.055253,exit_a_not_accumulate
570,ELA,2023-07-06,821,0,,False,False,False,noW3,5,0.011749,exit_a_not_accumulate
571,IOVA,2023-07-10,823,0,,False,False,False,noW3,1,0.014066,exit_a_not_accumulate
572,AMTB,2023-07-10,823,0,,False,False,False,noW3,3,0.049559,exit_a_not_accumulate
573,AAOI,2023-07-11,824,0,,False,False,False,noW3,2,0.032946,exit_a_not_accumulate
574,RELL,2023-07-10,823,0,,False,False,False,noW3,7,-0.002572,exit_a_not_accumulate
575,MYFW,2023-07-12,823,0,,False,False,False,noW3,5,0.014532,exit_a_not_accumulate
576,EDN,2023-07-14,826,0,,False,False,False,noW3,3,0.101175,exit_a_not_accumulate
577,AMTB,2023-07-14,827,0,,False,False,False,noW3,4,0.046347,exit_a_not_accumulate
578,VIR,2023-05-12,785,0,,False,False,False,noW3,69,-0.486661,exit_f_catastrophic
579,BBAR,2023-07-13,826,0,,False,False,False,noW3,7,-0.023217,exit_a_not_accumulate
