ticker,target_date,bar_count,frame_a_s_n,frame_b_s_n,abs_diff,both_in_w1_band,only_a,only_b,band_label
MGNX,2020-04-03,2,0.9478379559433401,0.55640644078226,0.3914315151610801,False,False,False,neither_in_band
ITM,2020-04-16,10,0.7338518457528627,0.771441321592264,0.03758947583940131,False,False,False,neither_in_band
FLR,2020-04-03,2,0.945958738657901,0.5488176958870732,0.39714104277082785,False,False,False,neither_in_band
OFIX,2020-04-03,2,0.9513105103837199,0.5314990046777401,0.4198115057059798,False,False,False,neither_in_band
SCM,2020-04-03,2,0.9817609498820775,0.5433096968837179,0.43845125299835963,False,False,False,neither_in_band
NBN,2020-04-03,2,0.9467301919540451,0.5505650755082396,0.39616511644580543,False,False,False,neither_in_band
MFIN,2020-04-03,2,0.9606445296395794,0.5573310803996985,0.4033134492398809,False,True,False,only_A_in_band
MOV,2020-04-03,2,0.9484411255849486,0.5274631540224721,0.4209779715624765,False,False,False,neither_in_band
TD,2020-04-03,2,0.9492288753238732,0.5386595448621289,0.4105693304617444,False,False,False,neither_in_band
SPDN,2020-04-03,2,0.9708405810655124,0.5429127078612125,0.4279278732042999,False,False,False,neither_in_band
XPL,2020-10-06,2,0.945428329430858,1.1008476478358193,0.15541931840496137,False,False,False,neither_in_band
INMB,2020-04-03,2,0.9524412411891297,0.5595149788806968,0.39292626230843286,False,False,False,neither_in_band
INGR,2020-04-24,16,0.8941106782970486,0.9455476866473201,0.05143700835027154,False,False,False,neither_in_band
AVGO,2020-04-24,16,0.9861075737925514,1.2051138752777795,0.21900630148522804,False,False,False,neither_in_band
CSB,2020-04-03,2,0.9383486623352615,0.4843474176747861,0.45400124466047537,False,False,False,neither_in_band
CEMB,2020-04-06,2,0.9661061665693782,1.1084915609333401,0.14238539436396191,False,True,False,only_A_in_band
AGRO,2020-04-06,2,0.9565531469088693,1.1215719128004984,0.16501876589162912,False,True,False,only_A_in_band
QEFA,2020-04-09,6,0.8977936071115331,0.9136623577605717,0.015868750649038588,False,False,False,neither_in_band
RDVY,2020-04-09,6,0.99363748885987,0.8735350497845824,0.12010243907528761,False,False,False,neither_in_band
SMDV,2020-04-22,14,0.9127421726783709,0.9369460364100982,0.024203863731727338,False,False,False,neither_in_band
FDM,2020-04-03,2,0.9502526241853639,0.5322196700629124,0.41803295412245156,False,False,False,neither_in_band
GSBD,2020-04-03,2,0.9613799536519054,0.5587473951822818,0.40263255846962365,False,True,False,only_A_in_band
