ticker,delta_bar,n_rows,classification
DMXF,0.25237749698718653,1482,normal
DNL,0.272251912271014,1546,volatile
DNOV,0.22635006153931952,1039,normal
DNOW,0.27700255013411423,1515,volatile
DOC,0.21739820284050643,1494,normal
DOGZ,0.1456575549769293,1483,calm
DOL,0.2570337176437146,1559,normal
DOV,0.1615423368297915,1562,calm
DOW,0.2968851882405503,1561,volatile
DRD,0.24032409938868776,1520,normal
DRH,0.255385582182472,1276,normal
DRIO,0.09347415106561563,1555,calm
DRN,0.24719308314954266,1524,normal
DRSK,0.23953189002762268,949,normal
DSI,0.2911441736266498,1562,volatile
DSTL,0.2081194791001511,1549,calm
DT,0.2758830127452564,1562,volatile
DTD,0.23310243332131958,1560,normal
DTE,0.26344418122195495,1562,normal
DTH,0.2812197406238582,1547,volatile
DUG,0.10687295821253757,1562,calm
DUK,0.32657401142546705,1561,volatile
DUOT,0.21534469450926408,1385,calm
DURA,0.24578386856887893,1462,normal
DVA,0.18761701920985724,1562,calm
DVOL,0.2636777647562227,1423,normal
DVYA,0.25268595569390134,1545,normal
DWM,0.25439378971605536,1561,normal
DWSH,0.18447541274323004,954,calm
DWX,0.25476858863938584,1516,normal
DXC,0.24146987346151486,1557,normal
DXD,0.157844883273722,1556,calm
DXJ,0.23958856670912318,1561,normal
DXR,0.17819529255994893,1366,calm
DYAI,0.2127702102460052,657,calm
DYNF,0.21502805762249488,1555,calm
E,0.2551899147547677,1558,normal
EAOR,0.2463131703985064,1228,normal
EARN,0.21538410923884463,838,calm
EASG,0.29315963301535913,1526,volatile
EBND,0.2228670863883253,877,normal
EC,0.24126974424550274,1456,normal
ECH,0.26414375286663166,1562,normal
ECNS,0.2479771191015704,1558,normal
EDC,0.1682418672254568,1561,calm
EDN,0.1983035046905216,1363,calm
EDOG,0.2520433649026922,1396,normal
EDOW,0.24357846846519915,1484,normal
EDSA,0.16254328422107278,1267,calm
EDU,0.19047811853972052,1562,calm
EDUC,0.22711644680128487,781,normal
EEMA,0.2797114168474253,1561,volatile
