Date,Open,High,Low,Close,Volume
2025-07-07,109223.2,109830,107507,108269.84,5294
2025-07-08,108282.1,109340,107438.33,108931.9,4618
2025-07-09,108932,112152.91,108329.87,111282.85,9570
2025-07-10,111323.7,117430,110541.87,116031.3,16669
2025-07-11,116031.29,118909.74,115211.74,117582.16,12321
2025-07-12,117532.6,118244.51,116720,117472.65,2968
2025-07-13,117461,119500,117120,119130.81,4549
2025-07-14,119130.81,123231.07,118790,119863.71,16278
2025-07-15,119855,119973.3,115697.37,117781.64,26521
2025-07-16,117741,120134.8,117033.23,118681.68,10624
2025-07-17,118681.67,121050,117469,119273.69,8760
2025-07-18,119250,120920,116930,118000,241
2025-07-19,118011.9,118564.59,117300,117914.17,2062
2025-07-20,117909.1,118921.76,116410,117312.7,3250
2025-07-21,117319,119745.93,116550,117428.79,6766
2025-07-22,117461,120300,116150,120026.42,9150
2025-07-23,119977.5,120180.93,117342.21,118810.44,7088
2025-07-24,118735.3,119590,117190,118397.04,8297
2025-07-25,118400,118520,114733.1,117633.27,26595
2025-07-26,117628.1,118430,117095.73,117937.5,7525
2025-07-27,117937.6,119870,117849.99,119465.52,5719
2025-07-28,119455.1,119900,117380.6,117979.7,8778
2025-07-29,117979.7,119410,116900,117933.39,7347
2025-07-30,117916.9,118930,115728.49,117830.15,6108
2025-07-31,117820.7,119100,115500,115761.13,6199
2025-08-01,115762.4,116270,112659,113248.73,12030
2025-08-02,113290.1,114260,112000,112525.2,4215
2025-08-03,112525.2,114980,111897.1,114215.7,4719
2025-08-04,114215.7,115810,114118.18,115051.85,5955
2025-08-05,115092.1,115220,112622.14,114180,6251
2025-08-06,114112.95,115870,113347.87,115028.83,5722
2025-08-07,115010,117800,114268.6,117515.49,7089
2025-08-08,117498.1,117900,115800,116683.79,6270
2025-08-09,116676,117950,116282.1,116492.51,3321
2025-08-10,116467.4,119430,116467.3,119309.37,4204
