symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
AVGO,2026-02-12T05:00:00+00:00,0.5833333333333333,0.2991192593962614,-1,0,1,0.6042716507312106,3,2,0,0.004469003834888241
CCL,2025-11-21T05:00:00+00:00,0.2647058823529412,0.2657978507217474,0,0,0,0.3488277866517055,3,0,-1,0.20444277108433728
CCL,2026-01-22T05:00:00+00:00,0.2647058823529412,0.26630517206247,0,0,0,0.3387505568953508,3,0,-1,0.12285012285012287
CCL,2026-02-12T05:00:00+00:00,0.2571428571428572,0.2644809877200993,-1,0,1,0.3717942510638071,3,2,-1,-0.018711656441717905
VZ,2025-11-21T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.19451855445064292
VZ,2026-01-22T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.24746707193515705
VZ,2026-02-12T05:00:00+00:00,0.75,0.6145371035072023,1,0,0,0.6666666666666666,3,1,0,-0.004245855236554852
HOOD,2025-11-21T05:00:00+00:00,0.15740740740740738,0.2774135343128923,1,0,0,0.3480175983236503,3,0,-1,-0.2906803355079217
HOOD,2026-01-22T05:00:00+00:00,0.17272727272727273,0.2771561747711755,0,0,0,0.35367415272673486,3,1,-1,-0.2836705882352941
HOOD,2026-02-12T05:00:00+00:00,0.16666666666666669,0.27750067833387976,-1,0,1,0.42442518820351577,3,2,-1,0.07016310461192354
KVUE,2025-11-21T05:00:00+00:00,0.3,0.4376076418514626,-1,0,1,0.40720981744578305,3,2,0,0.125
KVUE,2026-01-22T05:00:00+00:00,0.3,0.437010456301545,-1,0,1,0.4130992150425854,3,2,0,0.054647887323943545
KVUE,2026-02-12T05:00:00+00:00,0.6000000000000001,0.4367711874379169,-1,0,1,0.4154818659020429,3,2,0,0.009164420485175073
PYPL,2025-11-21T05:00:00+00:00,0.5,0.3542622172547128,1,0,0,0.34857095896827334,3,0,0,-0.31236585768532277
PYPL,2026-01-22T05:00:00+00:00,0.5,0.36432651520803905,1,0,0,0.3495448517159831,3,0,0,-0.2712160979877516
PYPL,2026-02-12T05:00:00+00:00,0.4642857142857143,0.3593991022097636,-1,0,1,0.6509344144250676,3,2,0,0.06576253838280444
TTD,2025-11-21T05:00:00+00:00,0.3529411764705882,0.2930076029136889,1,0,1,0.36074991994924044,3,2,-1,-0.3669609079445144
TTD,2026-01-22T05:00:00+00:00,0.3921568627450981,0.295024291109862,1,0,1,0.3618260616611585,3,2,-1,-0.31830526887561106
TTD,2026-02-12T05:00:00+00:00,0.4019607843137255,0.29579068779077483,1,0,1,0.36117663518075377,3,2,-1,-0.03978576893649577
CSCO,2025-11-21T05:00:00+00:00,0.5,0.550134473433858,-1,0,0,0.7666666666666666,3,0,0,0.04073587385019728
CSCO,2026-01-22T05:00:00+00:00,0.5,0.5483186252271779,-1,0,0,0.7666666666666666,3,0,0,0.06551863312256168
CSCO,2026-02-12T05:00:00+00:00,0.5,0.5475812790184127,-1,0,0,0.7666666666666666,3,0,0,0.05600000000000005
PCG,2025-11-21T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.17166560306317802
PCG,2026-01-22T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.21589403973509924
PCG,2026-02-12T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.04555808656036442
XOM,2025-11-21T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.2579432866416127
XOM,2026-01-22T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.10206524992517219
XOM,2026-02-12T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,-0.017674914960314814
