symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
DCBO,2026-01-22T05:00:00+00:00,0.5217391304347826,0.3342185976307444,1,0,0,0.3555584590191087,3,0,-1,-0.06742794997281143
DCBO,2026-02-12T05:00:00+00:00,0.5217391304347826,0.3362389355823415,1,0,0,0.35489727198247256,3,0,-1,-0.08239700374531844
DCO,2025-11-21T05:00:00+00:00,0.5,0.523612059061071,1,0,0,0.53489569613995,3,0,0,0.464876750376114
DCO,2026-01-22T05:00:00+00:00,0.5,0.517776769211252,1,0,0,0.5372828499429305,3,0,0,0.10002607108716433
DCO,2026-02-12T05:00:00+00:00,0.5,0.5160967700963451,1,0,0,0.5265638513158313,3,0,0,0.05342876165113175
DDOG,2025-11-21T05:00:00+00:00,0.4411764705882353,0.28663908741684113,-1,0,1,0.66027406743739,3,2,-1,-0.265883846397969
DDOG,2026-01-22T05:00:00+00:00,0.4411764705882353,0.2868897675560543,-1,0,1,0.6909991439937103,3,2,-1,-0.11878095238095243
DDOG,2026-02-12T05:00:00+00:00,0.4305555555555555,0.2831881884938318,1,0,0,0.40005435081297347,3,0,-1,-0.08300959327677793
DG,2025-11-21T05:00:00+00:00,0.3888888888888889,0.39027876619030843,0,0,0,0.3390353922993953,3,0,0,0.4812192723697146
DG,2026-01-22T05:00:00+00:00,0.5,0.3759374792628844,1,0,0,0.34276854582714644,3,0,0,0.04177040110650054
DG,2026-02-12T05:00:00+00:00,0.39999999999999997,0.37502486702472154,1,0,0,0.33982470866679937,3,0,0,0.014001077005923346
DHI,2025-11-21T05:00:00+00:00,0.6666666666666667,0.590539076406614,1,0,0,0.4122977548756698,3,0,0,0.11866948401608624
DHI,2026-01-22T05:00:00+00:00,0.6666666666666667,0.5890393927710935,1,0,0,0.4695529746104641,3,0,0,0.053807628098112126
DHI,2026-02-12T05:00:00+00:00,0.6666666666666667,0.5890215728270601,1,0,0,0.4499324492655983,3,0,0,-0.0028555805334467
DIT,2025-10-22T04:00:00+00:00,0.4390243902439024,0.26652873211489303,1,0,0,0.39511636628827684,3,0,-1,-0.043593469527310025
DIT,2026-01-15T05:00:00+00:00,0.4390243902439024,0.26853170567852225,1,0,0,0.39721389244025584,3,0,-1,0.023883601756954587
DIT,2026-02-11T05:00:00+00:00,0.4390243902439024,0.26930432140267896,1,0,0,0.39882862456812224,3,0,-1,-0.009823008849557557
DKS,2025-11-21T05:00:00+00:00,0.3421052631578948,0.3186716337215426,1,0,0,0.42333909833302286,3,0,0,-0.010650035979851258
DKS,2026-01-22T05:00:00+00:00,0.3421052631578948,0.3247978801549886,1,0,0,0.42300417938155116,3,0,0,-0.006934078104685271
DKS,2026-02-12T05:00:00+00:00,0.3421052631578948,0.3271455007763107,1,0,0,0.42319829364864614,3,0,0,0.034667870760586084
DLX,2025-11-21T05:00:00+00:00,0.5714285714285714,0.34010341667862537,0,0,0,0.34864169850176363,3,0,0,0.38434163701067603
DLX,2026-01-22T05:00:00+00:00,0.5714285714285714,0.33839261155125683,0,0,0,0.3423149705201314,3,0,0,0.09798387096774186
DLX,2026-02-12T05:00:00+00:00,0.625,0.32574708140122777,1,0,0,0.37541294401816816,3,0,0,0.052163833075734134
DNN,2025-11-21T05:00:00+00:00,0.3055555555555555,0.23618418582914144,-1,0,1,0.3465113618377819,3,2,-1,0.7885462555066078
DNN,2026-01-22T05:00:00+00:00,0.30909090909090914,0.23608473193991605,-1,0,1,0.37403990182231134,3,2,-1,0.03571428571428559
DNN,2026-02-12T05:00:00+00:00,0.30701754385964913,0.23470582579033358,1,0,0,0.35641598840872585,3,0,-1,0.06005221932114879
DNOW,2025-11-21T05:00:00+00:00,0.625,0.29949326476348487,1,0,0,0.339886281750809,3,0,0,-0.008988764044943753
DNOW,2026-01-22T05:00:00+00:00,0.5833333333333333,0.30046208551313974,-1,0,1,0.3416722864884693,3,2,0,-0.09507523939808471
DNOW,2026-02-12T05:00:00+00:00,0.625,0.30224027098733824,1,0,0,0.3424685487501473,3,0,0,-0.1813118811881188
DSP,2025-11-21T05:00:00+00:00,0.37499999999999994,0.2573281670766154,-1,0,1,0.3483390172894257,3,2,-1,-0.031600407747196746
DSP,2026-01-22T05:00:00+00:00,0.37499999999999994,0.2585061978638681,-1,0,1,0.3495224686478653,3,2,-1,-0.2549019607843137
DSP,2026-02-12T05:00:00+00:00,0.3819444444444444,0.2591092096517758,1,0,0,0.3437536588357911,3,0,-1,-0.013499480789200491
