symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
EFSI,2026-02-12T05:00:00+00:00,0.75,0.6612085968957266,1,0,0,0.6666666666666666,3,1,0,0.003247596778384043
EGBN,2026-02-12T05:00:00+00:00,0.4,0.2755894832825912,1,0,1,0.34441377356843345,3,2,0,0.015708812260536442
ELV,2026-02-12T05:00:00+00:00,0.5,0.47621163716257103,1,0,1,0.6666666666666666,3,2,0,0.0205035114867278
EMR,2026-02-12T05:00:00+00:00,0.5,0.5382756865569126,1,0,0,0.49097527906306454,3,0,0,0.025106911298110157
ENIC,2026-02-12T05:00:00+00:00,0.5,0.31514611695417244,1,0,0,0.34020246955288186,3,0,0,-0.023474178403755763
ENSG,2026-02-12T05:00:00+00:00,0.75,0.6165495285703857,1,0,0,0.6666666666666666,3,1,0,-0.017583135114966675
ENVA,2026-02-12T05:00:00+00:00,0.35,0.34476410339017205,1,0,1,0.34017293549083444,3,2,0,-0.020951226084613195
EPAC,2026-02-12T05:00:00+00:00,0.5,0.5173829762468809,1,0,0,0.5005280168625358,3,0,0,0.01145311381531866
EQS,2026-02-10T05:00:00+00:00,0.36250000000000004,0.26556464854530587,1,0,1,0.33944505796536384,3,2,-1,0.014214851558451036
EQT,2026-02-12T05:00:00+00:00,0.5416666666666667,0.2844623666832158,1,0,1,0.3402830513528674,3,2,0,0.05806225953130473
ESRT,2026-02-12T05:00:00+00:00,0.375,0.573145885546696,1,0,1,0.41162517434850776,3,2,0,-0.06466876971608837
ETON,2026-02-12T05:00:00+00:00,0.3942307692307692,0.2837052727953833,1,0,1,0.3353412199073775,3,2,-1,0.06789755807027986
EVTC,2026-02-12T05:00:00+00:00,0.3333333333333333,0.4549131140968287,1,0,1,0.4894106597724317,3,2,0,0.0487433358720486
FA,2026-02-12T05:00:00+00:00,0.35714285714285715,0.2992219296452489,1,0,0,0.3829443060464412,3,0,0,-0.06190476190476191
FCF,2026-02-12T05:00:00+00:00,0.5,0.5799002020793612,1,0,1,0.6666666666666666,3,2,0,0.009315068493150669
FCN,2026-02-12T05:00:00+00:00,0.33333333333333337,0.31599275924522763,1,0,0,0.4441260488174031,3,0,0,0.004412404449692486
FDS,2026-02-12T05:00:00+00:00,0.5,0.48788718838621675,1,0,1,0.6666666666666666,3,2,0,-0.034166872988363295
FFIV,2026-02-12T05:00:00+00:00,0.375,0.45447679830991217,1,0,1,0.5872971938247533,3,2,0,0.06247614685901848
FGBIP,2026-02-11T05:00:00+00:00,0.37499999999999994,0.3545072050108021,1,0,1,0.3395924836048675,3,2,0,-0.006696428571428603
FIGS,2026-02-12T05:00:00+00:00,0.3602941176470588,0.2664281222060792,1,0,1,0.3573722947438227,3,2,-1,0.10196078431372557
FLEX,2026-02-12T05:00:00+00:00,0.5833333333333334,0.338738131196519,1,0,0,0.3708018738346085,3,0,0,0.04920127795527174
FLG,2026-02-12T05:00:00+00:00,0.5,0.5705940380351132,1,0,1,0.6264663585707073,3,2,0,0.00868306801736618
FMNB,2026-02-12T05:00:00+00:00,0.5,0.5916872422658289,1,0,1,0.4902617017305654,3,2,0,0.00591715976331364
FND,2026-02-12T05:00:00+00:00,0.39285714285714285,0.27872315881625026,1,0,0,0.3425377941958064,3,0,0,-0.0047605308713213335
FNV,2026-02-12T05:00:00+00:00,0.75,0.6109328267113033,1,0,0,0.6666666666666666,3,1,0,0.08762843538551501
FNWB,2026-02-12T05:00:00+00:00,0.5,0.5592119872971,1,0,0,0.5714766799846511,3,0,0,-0.00440960313571781
FNWD,2026-02-12T05:00:00+00:00,0.39999999999999997,0.5476944467368446,1,0,1,0.38531221041466795,3,2,0,-0.005680281309169644
FORR,2026-02-12T05:00:00+00:00,0.3181818181818182,0.4492482062595439,1,0,1,0.6666666666666666,3,2,0,-0.011272141706924366
FOXA,2026-02-12T05:00:00+00:00,0.6666666666666667,0.5855960863848907,1,0,0,0.4587812817356597,3,0,0,0.010455431508063162
FRBA,2026-02-12T05:00:00+00:00,0.7,0.40906874260644477,1,0,0,0.33634576238876623,3,0,0,-0.02314814814814825
FRD,2026-02-12T05:00:00+00:00,0.3888888888888889,0.29797047510061825,1,0,0,0.3407907930849722,3,0,-1,-0.11519607843137247
FRO,2026-02-12T05:00:00+00:00,0.3695652173913044,0.28030448026533145,1,0,1,0.4279370609025538,3,2,0,0.1694173122263387
FRPT,2026-02-12T05:00:00+00:00,0.4032258064516129,0.2852753723163929,1,0,0,0.36262239705259136,3,0,-1,0.09751067903962296
FSBW,2026-02-12T05:00:00+00:00,0.75,0.6653299452829254,1,0,0,0.6666666666666666,3,1,0,-0.0038049940546966976
FSI,2026-02-12T05:00:00+00:00,0.30000000000000004,0.28673832916842323,1,0,0,0.33594556572080286,3,0,-1,-0.0662020905923345
FSM,2026-02-12T05:00:00+00:00,0.33783783783783783,0.2677782715459513,1,0,0,0.3966480608867712,3,0,-1,0.1809432146294514
FSTR,2026-02-12T05:00:00+00:00,0.4285714285714286,0.34453642748125446,1,0,0,0.3689973667020356,3,0,0,-0.0054036872218691245
FTAI,2026-02-12T05:00:00+00:00,0.359375,0.2674857406434743,1,0,1,0.3524635932926357,3,2,-1,0.05425171924462413
FTV,2026-02-12T05:00:00+00:00,0.5,0.5086782455043795,1,0,1,0.6666666666666666,3,2,0,0.0407142857142857
FUN,2026-02-12T05:00:00+00:00,0.75,0.2917963211566463,1,0,1,0.3852870975820362,3,2,0,0.10344827586206873
FURY,2026-02-12T05:00:00+00:00,0.42592592592592593,0.27440909069233177,1,0,1,0.3967765016220891,3,2,-1,0.03151862464183375
