step,file,chunk,phi,H,energy,visual,auditory,smell,taste,touch,emotion,lexical
106,Frankenstein.txt,37,0.500,0.000,0.500,0.937,0.928,0.858,0.947,0.930,0.697,0.000
107,Frankenstein.txt,38,0.500,0.000,0.500,0.928,0.913,0.892,0.925,0.916,0.464,0.000
108,Frankenstein.txt,39,0.500,0.000,0.500,0.924,0.924,0.935,0.909,0.913,0.705,0.000
109,Frankenstein.txt,40,0.500,0.000,0.500,0.886,0.926,0.941,0.931,0.950,0.838,0.000
110,Frankenstein.txt,41,0.500,0.000,0.500,0.906,0.910,0.916,0.901,0.959,0.542,0.000
111,Frankenstein.txt,42,0.500,0.000,0.500,0.929,0.936,0.910,0.942,0.955,0.748,0.000
112,Frankenstein.txt,43,0.500,0.000,0.500,0.929,0.929,0.900,0.935,0.927,0.493,0.000
113,Frankenstein.txt,44,0.500,0.000,0.500,0.943,0.946,0.910,0.924,0.944,0.352,0.000
114,Frankenstein.txt,45,0.500,0.000,0.500,0.953,0.929,0.908,0.947,0.947,0.644,0.000
115,Frankenstein.txt,46,0.500,0.000,0.500,0.935,0.940,0.897,0.875,0.930,0.804,0.000
116,Frankenstein.txt,47,0.500,0.000,0.500,0.937,0.929,0.883,0.906,0.938,0.892,0.000
117,Frankenstein.txt,48,0.500,0.000,0.500,0.939,0.947,0.871,0.880,0.887,0.941,0.000
118,Frankenstein.txt,49,0.500,0.000,0.500,0.939,0.941,0.891,0.873,0.905,0.599,0.000
119,Frankenstein.txt,50,0.500,0.000,0.500,0.937,0.924,0.885,0.867,0.935,0.779,0.000
120,Frankenstein.txt,51,0.500,0.000,0.500,0.923,0.919,0.894,0.905,0.953,0.879,0.000
121,Frankenstein.txt,52,0.500,0.000,0.500,0.906,0.922,0.895,0.888,0.952,0.933,0.000
122,Frankenstein.txt,53,0.500,0.000,0.500,0.899,0.899,0.896,0.890,0.951,0.594,0.000
123,Frankenstein.txt,54,0.500,0.000,0.500,0.905,0.894,0.931,0.935,0.900,0.408,0.000
124,Frankenstein.txt,55,0.500,0.000,0.500,0.925,0.909,0.894,0.908,0.818,0.306,0.000
125,Frankenstein.txt,56,0.500,0.000,0.500,0.933,0.903,0.920,0.902,0.890,0.249,0.000
126,Frankenstein.txt,57,0.500,0.000,0.500,0.919,0.891,0.926,0.930,0.905,0.587,0.000
127,Frankenstein.txt,58,0.500,0.000,0.500,0.921,0.887,0.957,0.931,0.904,0.773,0.000
128,Frankenstein.txt,59,0.500,0.000,0.500,0.938,0.872,0.968,0.946,0.913,0.875,0.000
129,Love Poems and Others.txt,0,0.500,0.000,0.500,0.933,0.872,0.922,0.946,0.894,0.716,0.000
130,Love Poems and Others.txt,1,0.500,0.000,0.500,0.944,0.876,0.929,0.908,0.920,0.789,0.000
131,Love Poems and Others.txt,2,0.500,0.000,0.500,0.959,0.907,0.915,0.842,0.900,0.872,0.000
132,Love Poems and Others.txt,3,0.500,0.000,0.500,0.946,0.917,0.871,0.896,0.910,0.761,0.000
133,Love Poems and Others.txt,4,0.500,0.000,0.500,0.921,0.888,0.903,0.891,0.935,0.825,0.000
134,Love Poems and Others.txt,5,0.500,0.000,0.500,0.931,0.922,0.926,0.913,0.896,0.774,0.000
135,Love Poems and Others.txt,6,0.500,0.000,0.500,0.943,0.925,0.895,0.942,0.915,0.799,0.000
136,Love Poems and Others.txt,7,0.500,0.000,0.500,0.945,0.916,0.861,0.947,0.914,0.785,0.000
137,Love Poems and Others.txt,8,0.500,0.000,0.500,0.937,0.895,0.895,0.947,0.947,0.856,0.000
138,Love Poems and Others.txt,9,0.500,0.000,0.500,0.928,0.910,0.905,0.940,0.931,0.914,0.000
139,Love Poems and Others.txt,10,0.500,0.000,0.500,0.885,0.900,0.917,0.959,0.951,0.768,0.000
140,Love Poems and Others.txt,11,0.500,0.000,0.500,0.902,0.887,0.910,0.937,0.930,0.823,0.000
141,Love Poems and Others.txt,12,0.500,0.000,0.500,0.902,0.903,0.924,0.895,0.945,0.891,0.000
142,Love Poems and Others.txt,13,0.500,0.000,0.500,0.921,0.912,0.950,0.875,0.946,0.769,0.000
143,Love Poems and Others.txt,14,0.500,0.000,0.500,0.875,0.904,0.904,0.873,0.944,0.813,0.000
144,Love Poems and Others.txt,15,0.500,0.000,0.500,0.821,0.915,0.930,0.918,0.903,0.883,0.000
145,Love Poems and Others.txt,16,0.500,0.000,0.500,0.874,0.928,0.912,0.893,0.914,0.565,0.000
146,Love Poems and Others.txt,17,0.500,0.000,0.500,0.912,0.920,0.911,0.923,0.926,0.626,0.000
147,Love Poems and Others.txt,18,0.500,0.000,0.500,0.890,0.950,0.866,0.934,0.950,0.771,0.000
148,Love Poems and Others.txt,19,0.500,0.000,0.500,0.908,0.952,0.899,0.890,0.966,0.727,0.000
149,Love Poems and Others.txt,20,0.500,0.000,0.500,0.917,0.952,0.927,0.873,0.957,0.780,0.000
150,Love Poems and Others.txt,21,0.500,0.000,0.500,0.909,0.957,0.939,0.899,0.951,0.477,0.000
151,Love Poems and Others.txt,22,0.500,0.000,0.500,0.920,0.930,0.891,0.937,0.900,0.689,0.000
152,Love Poems and Others.txt,23,0.500,0.000,0.500,0.943,0.937,0.914,0.942,0.928,0.825,0.000
153,Love Poems and Others.txt,24,0.500,0.000,0.500,0.943,0.935,0.926,0.940,0.944,0.903,0.000
154,Love Poems and Others.txt,25,0.500,0.000,0.500,0.942,0.949,0.918,0.937,0.945,0.741,0.000
155,Love Poems and Others.txt,26,0.500,0.000,0.500,0.927,0.928,0.910,0.947,0.934,0.804,0.000
156,Love Poems and Others.txt,27,0.500,0.000,0.500,0.942,0.902,0.918,0.948,0.961,0.880,0.000
157,Love Poems and Others.txt,28,0.500,0.000,0.500,0.939,0.886,0.939,0.909,0.965,0.765,0.000
158,Love Poems and Others.txt,29,0.500,0.000,0.500,0.938,0.886,0.908,0.939,0.932,0.810,0.000
159,Love Poems and Others.txt,30,0.500,0.000,0.500,0.934,0.832,0.866,0.948,0.934,0.780,0.000
160,Love Poems and Others.txt,31,0.500,0.000,0.500,0.958,0.882,0.916,0.965,0.948,0.796,0.000
161,Love Poems and Others.txt,32,0.500,0.000,0.500,0.946,0.899,0.907,0.920,0.912,0.512,0.000
162,Love Poems and Others.txt,33,0.500,0.000,0.500,0.906,0.926,0.908,0.882,0.935,0.720,0.000
163,Love Poems and Others.txt,34,0.500,0.000,0.500,0.912,0.899,0.916,0.885,0.933,0.477,0.000
164,Love Poems and Others.txt,35,0.500,0.000,0.500,0.900,0.880,0.935,0.921,0.936,0.711,0.000
165,Love Poems and Others.txt,36,0.500,0.000,0.500,0.921,0.915,0.936,0.939,0.938,0.841,0.000
166,Love Poems and Others.txt,37,0.500,0.000,0.500,0.939,0.911,0.944,0.953,0.960,0.707,0.000
167,Love Poems and Others.txt,38,0.500,0.000,0.500,0.897,0.935,0.910,0.930,0.943,0.789,0.000
168,Love Poems and Others.txt,39,0.500,0.000,0.500,0.901,0.902,0.917,0.890,0.922,0.761,0.000
169,Love Poems and Others.txt,40,0.500,0.000,0.500,0.904,0.877,0.932,0.851,0.956,0.839,0.000
170,Love Poems and Others.txt,41,0.500,0.000,0.500,0.894,0.850,0.948,0.855,0.898,0.904,0.000
171,Love Poems and Others.txt,42,0.500,0.000,0.500,0.919,0.881,0.882,0.879,0.920,0.945,0.000
172,Love Poems and Others.txt,43,0.500,0.000,0.500,0.941,0.912,0.909,0.930,0.942,0.767,0.000
173,Love Poems and Others.txt,44,0.500,0.000,0.500,0.940,0.920,0.898,0.953,0.950,0.488,0.000
174,Love Poems and Others.txt,45,0.500,0.000,0.500,0.934,0.928,0.863,0.926,0.939,0.691,0.000
175,Love Poems and Others.txt,46,0.500,0.000,0.500,0.931,0.929,0.899,0.942,0.913,0.460,0.000
176,Love Poems and Others.txt,47,0.500,0.000,0.500,0.894,0.936,0.912,0.934,0.887,0.701,0.000
177,Love Poems and Others.txt,48,0.500,0.000,0.500,0.906,0.925,0.914,0.958,0.916,0.835,0.000
178,Love Poems and Others.txt,49,0.500,0.000,0.500,0.885,0.940,0.921,0.938,0.953,0.909,0.000
179,Love Poems and Others.txt,50,0.500,0.000,0.500,0.924,0.921,0.933,0.900,0.955,0.950,0.000
180,Love Poems and Others.txt,51,0.500,0.000,0.500,0.925,0.925,0.940,0.908,0.922,0.972,0.000
181,Love Poems and Others.txt,52,0.500,0.000,0.500,0.863,0.915,0.926,0.928,0.925,0.985,0.000
182,Love Poems and Others.txt,53,0.500,0.000,0.500,0.889,0.878,0.904,0.955,0.956,0.992,0.000
183,Love Poems and Others.txt,54,0.500,0.000,0.500,0.927,0.874,0.903,0.946,0.936,0.995,0.000
184,Love Poems and Others.txt,55,0.500,0.000,0.500,0.910,0.864,0.919,0.929,0.955,0.607,0.000
